,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
96,96,36,28,-42,2,-8,-30,10,-16,-40,-8,28,2,12,20,-14,10,-18,-16,12,0,18,-10,14,-2,2,10,6,10,-16,4
97,97,37,29,-41,1,-7,-29,11,-17,-39,-9,29,1,13,19,-15,11,-17,-17,11,-1,17,-11,13,-1,1,9,7,11,-17,3
98,98,38,28,-42,0,-6,-30,10,-16,-38,-8,30,0,12,20,-16,10,-16,-16,12,0,18,-12,12,0,2,8,8,10,-18,2
99,99,39,29,-43,1,-7,-29,9,-17,-39,-7,29,-1,13,19,-17,9,-15,-15,11,-1,17,-13,11,1,1,7,7,11,-19,3
100,100,38,28,-44,2,-8,-28,8,-16,-38,-6,30,0,14,20,-16,8,-14,-14,12,-2,16,-12,12,2,0,8,6,12,-20,2
101,101,39,29,-45,1,-9,-29,9,-17,-39,-5,31,-1,15,19,-17,7,-15,-15,13,-1,17,-13,11,3,1,9,7,11,-19,1
102,102,40,28,-44,2,-8,-30,10,-16,-40,-6,30,-2,16,20,-18,8,-16,-16,14,0,18,-12,12,4,0,10,8,10,-20,2
103,103,39,29,-45,3,-9,-31,9,-17,-39,-7,31,-1,17,19,-19,9,-15,-15,13,1,17,-13,13,3,1,9,9,11,-19,1
104,104,38,30,-44,2,-8,-30,10,-16,-40,-8,30,0,18,18,-20,10,-16,-16,12,0,16,-12,12,2,2,8,10,12,-20,0
105,105,39,31,-43,1,-9,-31,9,-17,-41,-7,29,1,17,19,-19,11,-17,-17,11,-1,17,-11,13,3,1,9,9,13,-21,-1
106,106,40,30,-42,0,-10,-32,10,-16,-40,-8,28,2,16,20,-18,12,-16,-18,10,0,16,-10,14,4,2,10,10,12,-22,-2
107,107,41,29,-43,1,-11,-33,11,-17,-39,-9,27,1,15,19,-17,11,-15,-19,11,1,17,-11,15,3,1,11,9,11,-23,-1
108,108,42,28,-42,2,-10,-32,10,-16,-40,-8,26,0,16,18,-16,12,-16,-18,12,2,16,-12,14,4,2,10,8,10,-24,0
109,109,41,27,-43,3,-9,-31,11,-15,-41,-7,27,-1,17,17,-17,11,-17,-19,13,1,17,-13,15,3,3,11,7,11,-25,1
110,110,42,26,-44,2,-8,-30,12,-16,-42,-6,28,-2,18,16,-16,12,-18,-18,14,2,18,-12,16,4,2,10,6,12,-26,2
111,111,43,27,-45,1,-9,-29,13,-17,-43,-7,29,-1,19,15,-15,13,-19,-19,15,3,17,-13,15,3,3,11,7,11,-25,1
112,112,44,28,-44,0,-10,-30,12,-18,-44,-6,30,-2,20,16,-14,12,-20,-18,14,4,18,-14,14,2,4,12,8,10,-26,0
113,113,45,29,-45,1,-11,-31,13,-19,-45,-7,29,-3,21,17,-15,13,-21,-17,15,3,19,-15,15,1,3,11,7,11,-27,1
114,114,46,30,-44,0,-10,-32,14,-20,-44,-8,30,-2,20,16,-16,12,-20,-18,14,2,18,-14,16,2,4,12,6,12,-26,0
115,115,47,29,-45,1,-11,-31,13,-21,-45,-9,31,-1,21,15,-15,13,-21,-17,13,3,19,-15,15,3,5,11,5,11,-25,-1
116,116,46,30,-46,2,-12,-32,14,-20,-46,-8,30,0,20,16,-14,14,-22,-16,14,2,18,-14,14,4,6,12,6,12,-26,-2
117,117,47,31,-47,3,-11,-33,15,-21,-47,-9,29,1,21,17,-15,15,-23,-17,13,3,19,-13,15,3,7,11,7,11,-25,-1
118,118,48,30,-48,2,-12,-34,16,-20,-46,-8,28,0,22,18,-14,16,-22,-16,12,2,18,-14,14,4,8,10,8,10,-24,-2
119,119,49,31,-49,1,-11,-33,17,-19,-47,-7,27,-1,23,19,-15,17,-23,-15,13,1,19,-15,13,3,9,11,9,9,-25,-1
120,120,50,30,-48,2,-10,-32,18,-20,-48,-6,26,0,24,18,-16,16,-24,-16,12,0,20,-16,14,2,10,10,8,8,-24,0
121,121,51,29,-49,3,-11,-31,19,-21,-47,-5,27,1,23,17,-15,15,-25,-17,13,-1,21,-17,13,1,11,11,9,7,-25,1
122,122,50,30,-50,2,-12,-32,18,-22,-48,-6,26,2,24,18,-16,14,-26,-16,14,0,20,-16,14,0,10,12,10,8,-26,0
123,123,51,31,-49,1,-13,-31,19,-23,-47,-5,25,1,25,17,-15,13,-27,-15,13,1,19,-15,13,-1,11,13,11,9,-27,-1
124,124,52,32,-50,2,-14,-30,20,-22,-48,-6,26,0,24,18,-14,14,-28,-16,12,0,18,-14,12,0,12,12,12,8,-28,-2
125,125,51,33,-51,3,-13,-31,21,-23,-49,-5,25,1,25,17,-15,15,-27,-15,11,-1,19,-15,11,1,11,13,11,9,-29,-3
126,126,50,32,-52,4,-12,-30,20,-22,-50,-6,26,0,26,18,-14,16,-26,-14,10,0,20,-14,12,0,12,14,12,8,-28,-2
127,127,49,33,-53,5,-11,-31,19,-23,-51,-5,27,-1,25,17,-15,17,-27,-15,11,1,21,-15,13,-1,13,15,13,7,-29,-3
128,128,50,34,-54,6,-10,-30,18,-22,-52,-6,28,-2,24,16,-16,16,-26,-14,10,0,22,-16,12,-2,14,14,12,6,-28,-4
